parametros,estrategia,esquema,Input,Output,Total,Tempo,Memoria,GPT-4o-mini,max_modelos,Req/Hora 1 modelo,Req/Hora max_modelo,Spider-Dev ,CNPJ
3B,baseline,C ← C,793,136,929,"4,8","2,16","0,003962676",10,750,7500,57,64
3B,ex,C ← C,2213,113,2326,"3,9","2,16","0,008794068",10,923,9231,61,63
3B,SQL-SQL,C ← T,2961,280,3241,"9,5","2,31","0,01286082",10,379,3789,"65,6",60
3B,SQL-SQL,C ← R,2478,346,2824,"11,5","2,31","0,011711736",10,313,3130,"61,3","67,5"
3B,SL-SQL,C ← T,3113,369,3482,"12,4","2,31 ","0,014155044",10,290,2903,"61,3",63
3B,SL-SQL,C ← R,2647,333,2980,"11,1","2,31 ","0,012199548",10,324,3243,"44,7","32,5"
7B,baseline,C ← C,793,41,834,"1,6","5,71 ","0,003155556",4,2250,9000,"71,8",74
7B,ex,C ← C,2213,41,2254,"1,7","5,93 ","0,008182356",4,2118,8471,"72,3","75,5"
7B,SL-SQL,C ← T,2961,87,3048,"3,3","5,93 ","0,011221092",4,1091,4364,"75,8",74
7B,SL-SQL,C ← R,2463,80,2543,"3,0","5,93","0,0093987",4,1200,4800,"72,5","78,5"
7B,SQL-SQL,C ← T,3113,163,3276,"5,0","5,96","0,012404868",4,720,2880,"75,5",74
7B,SQL-SQL,C ← R,2615,156,2771,"5,3","5,96","0,010582476",4,679,2717,"65,5","60,5"
14B,baseline,C ← C,793,49,842,"2,9","10,23","0,003223524",2,1241,2483,"74,5","71,5"
14B,ex,C ← C,2213,43,2256,"3,2","10,61","0,008199348",2,1125,2250,73,"78,5"
14B,SL-SQL,C ← T,2961,127,3088,"7,5","10,62","0,011560932",2,480,960,"76,9","81,5"
14B,SL-SQL,C ← R,2463,236,2699,"12,0","10,62","0,010724076",2,300,600,"75,5","80,5"
14B,SQL-SQL,C ← T,3113,223,3336,"12,3","10,66","0,012914628",2,293,585,"77,5",86
14B,SQL-SQL,C ← R,2615,222,2837,"12,0","10,66","0,011143212",2,300,600,"76,4","77,5"
32B,baseline,C ← C,793,46,839,"5,1","19,92","0,003198036",1,706,706,"77,5","80,5"
32B,ex,C ← C,2213,111,2324,"11,6","20,46","0,008777076",1,310,310,"80,4","83,5"
32B,SL-SQL,C ← T,2961,95,3056,"10,9","20,47","0,01128906",1,330,330,"81,4",82
32B,SL-SQL,C ← R,2463,95,2558,"10,2","20,47","0,00952614",1,353,353,"80,4","83,5"
32B,SQL-SQL,C ← T,3113,194,3307,"19,5","20,54","0,012668244",1,185,185,"82,4",82
32B,SQL-SQL,C ← R,2615,194,2809,"18,8","20,54","0,010905324",1,191,191,"81,5",86
