name,memory,input_tokens,output_tokens,time,ex_all_spider-dev,ex_all_cnpj
Qwen2.5-3B  - baseline - C ← C,2.16,793,136,4.8,57.0,64.0
Qwen2.5-3B  - ex       - C ← C,2.16,2213,113,3.9,61.0,63.0
Qwen2.5-3B  - SQL-SQL  - C ← T,2.31,2961,280,9.5,65.6,60.0
Qwen2.5-3B  - SQL-SQL  - C ← R,2.31,2478,346,11.5,61.3,67.5
Qwen2.5-3B  - SL-SQL   - C ← T,2.31,3113,369,12.4,61.3,63.0
Qwen2.5-3B  - SL-SQL   - C ← R,2.31,2647,333,11.1,44.7,32.5
Qwen2.5-7B  - baseline - C ← C,5.71,793,41,1.6,71.8,74.0
Qwen2.5-7B  - ex       - C ← C,5.93,2213,41,1.7,72.3,75.5
Qwen2.5-7B  - SL-SQL   - C ← T,5.93,2961,87,3.3,75.8,74.0
Qwen2.5-7B  - SL-SQL   - C ← R,5.93,2463,80,3.0,72.5,78.5
Qwen2.5-7B  - SQL-SQL  - C ← T,5.96,3113,163,5.0,75.5,74.0
Qwen2.5-7B  - SQL-SQL  - C ← R,5.96,2615,156,5.3,65.5,60.5
Qwen2.5-14B - baseline - C ← C,10.23,793,49,2.9,74.5,71.5
Qwen2.5-14B - ex       - C ← C,10.61,2213,43,3.2,73.0,785.0
Qwen2.5-14B - SL-SQL   - C ← T,10.62,2961,127,7.5,76.9,81.5
Qwen2.5-14B - SL-SQL   - C ← R,10.62,2463,236,12.0,75.5,80.5
Qwen2.5-14B - SQL-SQL  - C ← T,10.66,3113,223,12.3,77.5,86.0
Qwen2.5-14B - SQL-SQL  - C ← R,10.66,2615,222,12.0,76.4,77.5
Qwen2.5-32B - baseline - C ← C,19.92,793,46,5.1,77.5,80.5
Qwen2.5-32B - ex       - C ← C,20.46,2213,111,11.6,80.4,83.5
Qwen2.5-32B - SL-SQL   - C ← T,20.47,2961,95,10.9,81.4,82.0
Qwen2.5-32B - SL-SQL   - C ← R,20.47,2463,95,10.2,80.4,83.5
Qwen2.5-32B - SQL-SQL  - C ← T,20.54,3113,194,19.5,82.4,82.0
Qwen2.5-32B - SQL-SQL  - C ← R,20.54,2615,194,18.8,81.5,86.0
